abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1250.281,232.762,0.000000,27.796,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906638,6021,6000,6021,6023,6085,60.000,2.218,85.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,25749.72,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2401.635,232.762,0.000000,27.796,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906665,6048,6030,6048,6050,6101,27.000,2.097,71.000,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29401.63,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1099.305,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906695,6078,6057,6078,6080,6117,30.000,2.228,60.000,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,25900.70,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,183.088,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906724,6107,6088,6107,6109,6130,29.000,2.190,42.000,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,27183.09,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,398.863,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906754,6137,6117,6137,6139,6159,30.000,2.234,42.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26601.14,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,433.148,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906783,6166,6147,6166,6169,6187,29.000,2.194,40.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26566.85,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,893.078,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906814,6197,6177,6197,6200,6231,31.000,2.220,54.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26106.92,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1218.625,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906842,6225,6207,6225,6228,6245,28.000,2.192,38.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28218.63,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,496.654,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906903,6286,6266,6286,6288,6439,61.000,2.177,173.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26503.35,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,494.891,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906933,6316,6297,6316,6318,6468,30.000,2.233,171.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,27494.89,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2383.094,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906962,6345,6327,6345,6347,6482,29.000,2.191,155.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29383.09,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2410.092,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066906989,6372,6354,6372,6374,6497,27.000,2.144,143.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29410.09,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1265.867,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907019,6402,6381,6402,6404,6511,30.000,2.202,130.000,512,256,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,25734.13,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,794.389,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907047,6430,6412,6430,6433,6526,28.000,2.238,114.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,27794.39,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1798.375,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907075,6458,6440,6458,6461,6540,28.000,2.186,100.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28798.37,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,653.576,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907136,6519,6499,6519,6521,6584,61.000,2.196,85.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26346.42,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,396.406,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907166,6549,6530,6549,6552,6598,30.000,2.233,68.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26603.59,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1353.775,232.762,0.000000,27.794,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907194,6577,6559,6577,6579,6613,28.000,2.203,54.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28353.78,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,693.398,232.762,0.000000,27.800,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907224,6607,6587,6607,6609,6628,30.000,2.231,41.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26306.60,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,296.865,232.808,0.000000,27.800,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907253,6636,6617,6636,6639,7116,29.000,2.164,499.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26703.13,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,579.020,232.808,0.000000,27.805,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907284,6667,6647,6667,6670,7134,31.000,2.217,487.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26420.98,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2660.525,232.808,0.000000,27.805,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907311,6694,6676,6694,6696,7147,27.000,2.076,471.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29660.53,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,46.354,232.808,0.000000,27.805,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907342,6725,6705,6725,6727,7162,31.000,2.234,457.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26953.65,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2722.113,232.808,0.000000,27.805,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907402,6785,6762,6785,6787,7191,60.000,2.236,429.000,512,256,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,24277.89,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1495.883,232.808,0.000000,27.805,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907430,6813,6794,6813,6815,7205,28.000,2.186,411.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28495.88,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1758.053,232.808,0.000000,27.805,-1,resistive_linear,electric_kettle,8,steady,unknown,0,electric_kettle,sess_1776066850792,1776066907458,6841,6823,6841,6843,7221,28.000,2.223,398.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28758.05,0,7
