abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.666548,0.297858,15.086432,4.622548,1.867763,5.620956,-55.882317,0.000000,17.656864,0.000000,10.326660,23.5328,7.632070,-3.580512,0.000000,0.000000,1202.232,226.662,5.883678,27.428,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064717885,2832260,2832242,2832260,2832267,2832303,57.000,6.153,61.000,512,256,0,193,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28202.23,0,7
0.725626,0.341549,11.286222,5.140489,1.540562,3.343815,-55.083443,0.000000,21.000679,0.000000,4.900051,16.7445,9.172631,-14.517920,0.000000,0.000000,780.832,226.662,5.542130,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064717915,2832290,2832270,2832290,2832296,2832737,30.000,6.241,467.000,512,256,0,194,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26219.17,0,7
0.260490,0.115494,31.390667,5.565201,0.095480,0.154219,-44.034210,0.000000,21.154898,0.000000,9.519838,22.1068,9.077151,-4.455527,0.000000,0.000000,786.434,226.662,5.657623,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064717945,2832320,2832300,2832320,2832326,2832772,30.000,6.265,472.000,512,256,0,195,0,6,1,1,1,1,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26213.57,0,7
0.131066,0.059322,3.951339,5.663465,1.708246,7.027164,-52.902699,0.000000,28.182062,0.000000,4.460603,2.6471,10.785398,-10.852163,0.000000,0.000000,2658.809,226.662,5.716945,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064717972,2832347,2832329,2832347,2832352,2832793,27.000,5.754,464.000,512,256,0,196,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,29658.81,0,7
0.257633,0.117830,12.081910,5.994041,0.208336,1.516890,-53.496414,0.000000,26.665173,0.000000,9.500083,30.7138,10.993733,-5.342078,0.000000,0.000000,2224.701,226.587,5.834775,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064718002,2832377,2832356,2832377,2832384,2832808,30.000,6.355,452.000,512,256,0,197,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,24775.30,0,7
0.305379,0.142546,7.263823,6.015114,1.062690,0.675922,-51.636841,0.000000,25.989250,0.000000,4.545157,3.9441,9.931044,-14.443157,0.000000,0.000000,2386.443,226.587,5.692230,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064718029,2832404,2832387,2832404,2832410,2832812,27.000,5.849,425.000,512,256,0,198,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,29386.44,0,7
0.316156,0.145199,6.591699,4.343323,0.200181,2.455786,-57.859840,0.000000,27.181376,0.000000,10.261311,28.0132,11.752912,-3.653688,0.000000,0.000000,1206.674,226.587,5.885968,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064718084,2832459,2832441,2832459,2832466,2832854,55.000,6.623,413.000,512,256,0,198,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28206.67,0,7
0.136362,0.064210,13.691491,4.661525,0.616792,10.518488,-56.629871,0.000000,37.699863,0.000000,9.485264,23.4779,11.136120,-4.769852,0.000000,0.000000,1010.740,226.587,5.950178,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064718118,2832493,2832474,2832493,2832499,2832888,34.000,6.107,414.000,512,256,0,199,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28010.74,0,7
0.391321,0.186275,10.612000,4.922451,0.003263,4.650806,-51.995636,0.000000,33.049057,0.000000,9.138096,16.0380,11.139383,-5.928221,0.000000,0.000000,1853.207,226.587,5.763904,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064718145,2832520,2832502,2832520,2832526,2832909,27.000,5.852,407.000,512,256,0,200,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28853.21,0,7
0.169954,0.078368,10.981896,5.386409,1.269813,1.521963,-54.489407,0.000000,31.527094,0.000000,4.494026,9.4890,12.409196,-15.258985,0.000000,0.000000,1834.596,226.587,5.685535,27.443,-1,resistive_linear,electric_kettle,6,steady,unknown,0,electric_kettle,sess_1776064703101,1776064718173,2832548,2832530,2832548,2832554,2832924,28.000,6.043,394.000,512,256,0,201,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28834.60,0,7
