spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,trial_id,section_id,_source_file,_source_folder,source_kind,source_priority,parsed_load_type,parsed_load_family,section_key,rf_train_row,section_prior,label_trust,arc_like_score,normal_like_score,clean_reason,clean_quality,invalid_off_flag,invalid_loaded_flag,hard_negative,sample_weight,transition_normal,conflict_scope,_feature_sig,_conflict_sig,label_conflict,conflict_policy,device_family_code,context_family_code_runtime,context_family_confidence,ctx_family_resistive_linear,ctx_family_inductive_motor,ctx_family_rectifier_smps,ctx_family_phase_angle_controlled,ctx_family_brush_universal_motor,ctx_family_other_mixed,context_runtime_source,context_augmented
200.0,12.124349,-3.91101,-64.130867,200.0,7.8459,118.20885209566734,15.799004,0.67858,0.116209,228.999,5.909829,27.513,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353407,2416857,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1678013459964238,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|12.1243|-3.911|-64.1309|200.0|7.8459|118.2089|15.799|0.6786|0.1162,200.0|12.124|-3.911|-64.131|200.0|7.846|118.209|15.799|0.679|0.116,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,5.066726,-11.243161,-63.052731,200.0,0.4311,112.85089298921677,16.297304,0.635396,0.169002,228.999,5.829927,27.513,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353515,2416955,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.038807926803481,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|5.0667|-11.2432|-63.0527|200.0|0.4311|112.8509|16.2973|0.6354|0.169,200.0|5.067|-11.243|-63.053|200.0|0.431|112.851|16.297|0.635|0.169,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,11.570192,-5.205593,-62.850494,77.1395,5.6509,110.05125512286311,15.13095,0.404542,0.35803,228.562,6.030766,27.511,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353803,2417248,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.162724263946096,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|11.5702|-5.2056|-62.8505|77.1395|5.6509|110.0513|15.131|0.4045|0.358,200.0|11.57|-5.206|-62.85|77.14|5.651|110.051|15.131|0.405|0.358,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,11.149869,-5.228608,-62.233391,145.4068,0.3785,105.88147922141047,15.701905,0.476364,0.614335,228.562,5.734373,27.511,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353913,2417343,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.160384103299557,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|11.1499|-5.2286|-62.2334|145.4068|0.3785|105.8815|15.7019|0.4764|0.6143,200.0|11.15|-5.229|-62.233|145.407|0.378|105.881|15.702|0.476|0.614,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,12.390537,-3.221882,-47.083138,200.0,11.314,100.0,14.912079,0.868429,0.431717,228.562,5.932423,27.511,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353994,2417441,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.178710839517247,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|12.3905|-3.2219|-47.0831|200.0|11.314|100.0|14.9121|0.8684|0.4317,200.0|12.391|-3.222|-47.083|200.0|11.314|100.0|14.912|0.868|0.432,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,13.100924,-3.962245,-65.314301,0.1605,0.42839999999999995,109.23202879667086,14.306509,0.286624,0.049733,227.751,5.917982,27.518,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549354369,2417824,1,1,1,0,1,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1849880143312517,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|13.1009|-3.9622|-65.3143|0.1605|0.4284|109.232|14.3065|0.2866|0.0497,200.0|13.101|-3.962|-65.314|0.16|0.428|109.232|14.307|0.287|0.05,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,11.505978,-4.664497,-63.240448,138.8065,5.7829,107.4212001085257,16.257233,0.946277,0.12964,227.751,5.856605,27.518,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549354480,2417917,1,1,1,0,8,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1614504095835387,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|11.506|-4.6645|-63.2404|138.8065|5.7829|107.4212|16.2572|0.9463|0.1296,200.0|11.506|-4.664|-63.24|138.806|5.783|107.421|16.257|0.946|0.13,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,10.013273,-6.350499,-62.038723,167.2708,5.8191,107.74819411092895,16.108604,0.524539,0.309837,227.751,5.711437,27.519,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549354863,2418018,1,1,1,0,14,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1390172465123487,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|10.0133|-6.3505|-62.0387|167.2708|5.8191|107.7482|16.1086|0.5245|0.3098,200.0|10.013|-6.35|-62.039|167.271|5.819|107.748|16.109|0.525|0.31,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,8.621138,-8.480767,-47.322235,200.0,7.047499999999999,122.58575325016872,16.363594,0.563368,0.213381,227.282,5.988028,27.519,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549354890,2418304,1,1,1,0,15,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1066373590216392,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|8.6211|-8.4808|-47.3222|200.0|7.0475|122.5858|16.3636|0.5634|0.2134,200.0|8.621|-8.481|-47.322|200.0|7.047|122.586|16.364|0.563|0.213,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,10.186715,-6.556474,-58.976616,194.2464,48.796800000000005,112.35955228095249,15.368652,0.787506,0.583382,227.282,5.708562,27.519,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549354947,2418397,1,1,1,0,19,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1316892233316922,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|10.1867|-6.5565|-58.9766|194.2464|48.7968|112.3596|15.3687|0.7875|0.5834,200.0|10.187|-6.556|-58.977|194.246|48.797|112.36|15.369|0.788|0.583,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
