time ntc terminal device_current clamp_current
0 30.6 27.6 11.3 11.17
1 31.7 30.8 11.29 11.17
2 32.8 33.9 11.29 11.16
3 33.8 37 11.28 11.15
4 34.8 39.5 11.28 11.15
5 35.8 42 11.27 11.14
6 37 47 11.27 11.13
7 38.2 52 11.26 11.12
8 38.8 53 11.25 11.12
