time ntc estimated terminal device_current clamp_current
0 29.9 30.6 30.6 7.35 7.22
1 30.3 31.1 31.3 7.35 7.22
2 30.7 31.5 32 7.35 7.21
3 31.1 32 32.7 7.34 7.21
4 31.5 32.4 33.4 7.34 7.21
5 31.9 32.8 34.1 7.33 7.2
6 32.2 33.1 34.4 7.33 7.2
7 32.4 33.4 34.7 7.33 7.19
8 32.7 33.7 35 7.32 7.19
9 32.9 33.9 35.3 7.32 7.18
10 33.1 34.2 35.6 7.31 7.17
11 33.3 34.4 35.8 7.31 7.17
12 33.4 34.5 36 7.3 7.16
13 33.6 34.7 36.2 7.3 7.15
14 33.7 34.8 36.4 7.29 7.15
15 33.8 35 36.6 7.28 7.14
16 34 35.1 36.7 7.28 7.13
17 34.1 35.3 36.9 7.27 7.13
18 34.2 35.4 37.1 7.27 7.12
19 34.4 35.6 37.3 7.26 7.11
20 34.5 35.7 37.5 7.25 7.1
21 34.6 35.8 37.6 7.25 7.1
22 34.7 35.9 37.8 7.24 7.09
23 34.8 36.1 37.9 7.24 7.08
24 35 36.2 38.1 7.23 7.07
25 35.1 36.3 38.2 7.23 7.07
26 35.2 36.4 38.4 7.22 7.06
27 35.3 36.5 38.5 7.21 7.05
28 35.4 36.7 38.7 7.21 7.05
29 35.5 36.8 38.8 7.2 7.04
30 35.6 36.9 39 7.2 7.04
32 35.7 37 39.1 7.19 7.03
34 35.8 37.1 39.2 7.19 7.02
36 35.9 37.2 39.3 7.18 7.02
38 36 37.3 39.5 7.18 7.01
40 36.1 37.4 39.6 7.18 7.01
42 36.2 37.5 39.7 7.18 7.01
44 36.3 37.6 39.9 7.18 7.01
46 36.4 37.7 40 7.18 7.02
48 36.5 37.8 40.1 7.19 7.02
50 36.6 37.9 40.3 7.19 7.03
52 36.7 38 40.4 7.2 7.04
54 36.8 38.1 40.5 7.21 7.05
56 37 38.2 40.7 7.22 7.06
58 37.1 38.4 40.8 7.22 7.07
60 37.2 38.5 40.9 7.23 7.08
65 37.3 38.6 41.1 7.24 7.1
70 37.4 38.8 41.3 7.25 7.11
75 37.5 38.9 41.4 7.25 7.12
80 37.7 39 41.6 7.24 7.11
85 37.8 39.2 41.8 7.22 7.09
90 37.9 39.3 41.9 7.2 7.07
95 38.1 39.5 42.1 7.18 7.05
100 38.2 39.6 42.2 7.17 7.04
105 38.4 39.8 42.4 7.17 7.03
