time ntc terminal device_current clamp_current
0 30.8 27.9 5.37 5.25
1 30.9 27.9 5.37 5.25
2 30.9 28 5.37 5.25
3 31 28 5.37 5.25
4 31 28.1 5.37 5.26
5 31 28.1 5.37 5.26
6 31.1 28.2 5.37 5.26
7 31.1 28.2 5.38 5.26
8 31.2 28.3 5.38 5.26
9 31.2 28.3 5.38 5.26
10 31.3 28.4 5.38 5.26
11 31.3 28.5 5.38 5.26
12 31.4 28.5 5.38 5.26
13 31.4 28.6 5.38 5.26
14 31.4 28.6 5.38 5.26
15 31.5 28.7 5.37 5.26
16 31.5 28.7 5.37 5.26
17 31.6 28.8 5.37 5.25
18 31.6 28.8 5.37 5.25
19 31.7 28.9 5.37 5.25
20 31.7 28.9 5.36 5.24
21 31.8 29 5.36 5.24
22 31.8 29 5.36 5.23
23 31.8 29.1 5.35 5.23
24 31.9 29.1 5.35 5.22
25 31.9 29.2 5.34 5.22
26 32 29.2 5.34 5.21
27 32 29.3 5.33 5.21
28 32.1 29.3 5.33 5.2
29 32.1 29.4 5.32 5.19
30 32.1 29.4 5.32 5.19
32 32.2 29.5 5.3 5.17
34 32.2 29.5 5.29 5.16
36 32.3 29.5 5.28 5.14
38 32.3 29.6 5.27 5.13
40 32.4 29.6 5.26 5.12
42 32.4 29.6 5.25 5.11
44 32.4 29.7 5.24 5.1
46 32.5 29.7 5.24 5.09
48 32.5 29.7 5.23 5.08
50 32.6 29.8 5.23 5.08
52 32.6 29.8 5.23 5.08
54 32.7 29.8 5.23 5.07
56 32.7 29.9 5.23 5.08
58 32.7 29.9 5.23 5.08
60 32.8 29.9 5.24 5.08
65 32.8 30 5.26 5.1
70 32.9 30.1 5.27 5.13
75 32.9 30.1 5.29 5.15
80 33 30.2 5.3 5.16
85 33 30.3 5.3 5.17
90 33.1 30.4 5.29 5.17
95 33.1 30.5 5.28 5.16
100 33.2 30.5 5.26 5.14
105 33.2 30.6 5.24 5.12
110 33.3 30.7 5.22 5.1
115 33.4 30.8 5.21 5.09
120 33.4 30.8 5.21 5.09
130 33.5 30.9 5.25 5.11
140 33.5 30.9 5.3 5.15
150 33.5 30.9 5.34 5.18
160 33.6 31 5.34 5.19
170 33.6 31 5.3 5.16
180 33.6 31.1 5.26 5.14
195 33.7 31.2 5.26 5.14
210 33.8 31.3 5.31 5.18
225 33.9 31.4 5.32 5.18
240 33.9 31.5 5.25 5.1
