time ntc terminal device_current clamp_current
0 30.8 27.9 9.29 9.17
1 31.1 28.2 9.29 9.17
2 31.3 28.5 9.29 9.17
3 31.5 28.8 9.29 9.17
4 31.7 29.1 9.29 9.17
5 31.9 29.4 9.28 9.17
6 32.2 29.7 9.28 9.16
7 32.4 30 9.28 9.16
8 32.6 30.3 9.28 9.16
9 32.8 30.6 9.28 9.16
10 33 30.9 9.28 9.16
11 33.2 31 9.28 9.16
12 33.3 31.2 9.28 9.15
13 33.4 31.3 9.27 9.15
14 33.5 31.5 9.27 9.15
15 33.6 31.6 9.27 9.14
16 33.8 31.8 9.26 9.14
17 33.9 32 9.26 9.13
18 34 32.1 9.25 9.13
19 34.1 32.3 9.25 9.12
20 34.2 32.4 9.25 9.12
21 34.4 32.6 9.24 9.11
22 34.5 32.7 9.24 9.1
23 34.6 32.9 9.23 9.1
24 34.7 33.1 9.22 9.09
25 34.8 33.2 9.22 9.08
26 35 33.4 9.21 9.08
27 35.1 33.5 9.21 9.07
28 35.2 33.7 9.2 9.06
29 35.3 33.8 9.2 9.05
30 35.4 34 9.19 9.05
32 35.5 34.2 9.18 9.03
34 35.6 34.3 9.17 9.02
36 35.8 34.5 9.16 9.01
38 35.9 34.6 9.15 9
40 36 34.8 9.14 8.99
42 36.1 35 9.13 8.98
44 36.2 35.1 9.13 8.97
46 36.3 35.3 9.13 8.97
48 36.4 35.4 9.13 8.97
50 36.5 35.6 9.13 8.97
52 36.6 35.8 9.13 8.97
54 36.7 35.9 9.13 8.97
56 36.9 36.1 9.14 8.98
58 37 36.3 9.14 8.99
60 37.1 36.4 9.15 9
65 37.2 36.6 9.17 9.02
70 37.3 36.8 9.19 9.04
75 37.4 37 9.2 9.06
80 37.6 37.2 9.2 9.07
85 37.7 37.4 9.19 9.07
90 37.8 37.5 9.18 9.06
95 38 37.7 9.16 9.04
100 38.1 37.9 9.14 9.02
105 38.2 38.1 9.12 9
110 38.4 38.3 9.11 8.99
115 38.5 38.4 9.11 8.98
120 38.6 38.6 9.12 8.99
130 38.7 38.8 9.17 9.02
140 38.9 38.9 9.22 9.06
150 39 39.1 9.24 9.08
160 39.1 39.3 9.22 9.07
170 39.2 39.5 9.18 9.04
180 39.4 39.7 9.15 9.02
195 39.6 40 9.16 9.04
210 39.8 40.3 9.21 9.08
225 40 40.6 9.2 9.05
240 40.2 40.8 9.12 8.96
