time ntc estimated terminal device_current clamp_current
0 32 33 33 11.3 11.16
1 33.2 34.4 41 11.29 11.16
2 34.6 35.8 43 11.29 11.15
3 35.4 36.8 45 11.28 11.14
4 36 37.4 47 11.28 11.14
5 36.8 38.2 50 11.27 11.13
6 37.6 39.1 51 11.27 11.12
7 38.2 39.7 55 11.26 11.11
