time ntc terminal device_current clamp_current
0 30.8 27.9 13.25 13.13
1 31.2 28.4 13.25 13.12
2 31.5 28.9 13.24 13.12
3 31.9 29.4 13.24 13.12
4 32.2 29.9 13.24 13.12
5 32.5 30.4 13.24 13.11
6 32.9 30.9 13.23 13.11
7 33.2 31.4 13.23 13.11
8 33.6 31.8 13.23 13.1
9 33.9 32.3 13.23 13.1
10 34.2 32.8 13.22 13.09
11 34.4 33.1 13.22 13.09
12 34.6 33.3 13.21 13.08
13 34.8 33.6 13.21 13.08
14 35 33.8 13.2 13.07
15 35.1 34 13.2 13.07
16 35.3 34.3 13.19 13.06
17 35.5 34.5 13.19 13.05
18 35.7 34.7 13.18 13.05
19 35.9 35 13.18 13.04
20 36 35.2 13.17 13.03
21 36.2 35.4 13.17 13.02
22 36.4 35.7 13.16 13.02
23 36.6 35.9 13.15 13.01
24 36.7 36.2 13.15 13
25 36.9 36.4 13.14 12.99
26 37.1 36.6 13.14 12.99
27 37.3 36.9 13.13 12.98
28 37.5 37.1 13.12 12.97
29 37.6 37.3 13.12 12.97
30 37.8 37.6 13.11 12.96
32 37.9 37.8 13.1 12.95
34 37.9 38 13.1 12.94
36 38 38.2 13.09 12.93
38 38 38.4 13.08 12.92
40 38.1 38.6 13.08 12.92
42 38.1 38.8 13.08 12.91
44 38.2 39 13.07 12.91
46 38.3 39.2 13.08 12.91
48 38.4 39.4 13.08 12.92
50 38.5 39.5 13.08 12.92
52 38.7 39.7 13.09 12.93
54 38.8 39.9 13.09 12.93
56 39 40 13.1 12.94
58 39.1 40.2 13.11 12.95
60 39.3 40.3 13.11 12.96
65 39.5 40.6 13.13 12.98
70 39.6 40.9 13.14 13
75 39.8 41.2 13.15 13.01
80 40 41.5 13.14 13.01
85 40.2 41.8 13.13 13
90 40.4 42.1 13.11 12.99
95 40.6 42.4 13.09 12.97
100 40.8 42.7 13.07 12.95
105 41 43 13.06 12.93
110 41.2 43.3 13.06 12.92
115 41.4 43.5 13.07 12.93
120 41.6 43.8 13.09 12.94
130 41.8 44.1 13.14 12.98
140 42.1 44.4 13.18 13.02
150 42.3 44.7 13.18 13.03
160 42.5 45.1 13.15 13
170 42.7 45.4 13.11 12.98
180 43 45.8 13.09 12.97
195 43.4 46.4 13.12 13
