time ntc estimated terminal device_current clamp_current
0 29.8 30.8 31.1 13.25 13.12
1 30.4 31.5 32.3 13.25 13.11
2 31 32.2 33.6 13.24 13.11
3 31.6 32.8 34.9 13.24 13.11
4 32.3 33.6 36.2 13.24 13.11
5 33 34.3 37.5 13.24 13.1
6 33.4 34.7 38 13.23 13.1
7 33.8 35.1 38.5 13.23 13.1
8 34.1 35.5 39 13.23 13.09
9 34.5 35.9 39.5 13.23 13.09
10 34.8 36.2 40.1 13.22 13.08
11 35.1 36.5 40.3 13.22 13.08
12 35.3 36.7 40.5 13.21 13.07
13 35.5 36.9 40.8 13.21 13.07
14 35.7 37.1 41 13.2 13.06
15 35.9 37.3 41.3 13.2 13.06
16 36.1 37.5 41.5 13.19 13.05
17 36.3 37.8 41.8 13.19 13.04
18 36.5 38 42 13.18 13.04
19 36.7 38.2 42.3 13.18 13.03
20 36.9 38.4 42.5 13.17 13.02
21 37 38.5 42.7 13.17 13.01
22 37.1 38.6 42.8 13.16 13.01
23 37.2 38.7 43 13.15 13
24 37.3 38.9 43.1 13.15 12.99
25 37.4 39 43.2 13.14 12.98
26 37.5 39.1 43.4 13.14 12.98
27 37.6 39.2 43.5 13.13 12.97
28 37.7 39.3 43.7 13.12 12.96
29 37.8 39.4 43.8 13.12 12.96
30 37.9 39.5 44 13.11 12.95
32 38 39.5 44.1 13.1 12.94
34 38 39.6 44.2 13.1 12.93
36 38 39.6 44.4 13.09 12.92
38 38.1 39.7 44.5 13.08 12.91
40 38.1 39.7 44.6 13.08 12.91
42 38.1 39.8 44.7 13.08 12.9
44 38.2 39.8 44.9 13.07 12.9
46 38.2 39.9 45 13.08 12.9
