time ntc terminal device_current clamp_current
0 30.6 27.6 9.3 9.18
1 31 28.2 9.3 9.17
2 31.3 28.8 9.29 9.17
3 31.7 29.4 9.29 9.16
4 32 30 9.28 9.16
5 32.3 30.6 9.28 9.15
6 32.7 31.2 9.27 9.15
7 33 31.8 9.27 9.14
8 33.4 32.3 9.26 9.13
9 33.7 32.9 9.26 9.13
10 34 33.5 9.25 9.12
11 34.2 33.7 9.25 9.11
12 34.3 33.9 9.24 9.1
13 34.5 34.2 9.23 9.1
14 34.6 34.4 9.23 9.09
15 34.8 34.6 9.22 9.08
16 34.9 34.8 9.22 9.07
17 35.1 35 9.21 9.07
18 35.2 35.2 9.2 9.06
19 35.4 35.4 9.2 9.05
20 35.5 35.6 9.19 9.04
21 35.7 35.8 9.19 9.04
22 35.8 36.1 9.18 9.03
23 36 36.3 9.17 9.02
24 36.1 36.5 9.17 9.02
25 36.3 36.7 9.16 9.01
26 36.4 36.9 9.16 9
27 36.6 37.1 9.15 9
28 36.7 37.3 9.15 8.99
29 36.8 37.5 9.14 8.99
30 37 37.8 9.14 8.98
32 37.1 38 9.13 8.98
34 37.3 38.2 9.13 8.97
36 37.4 38.4 9.13 8.97
38 37.5 38.6 9.13 8.97
40 37.6 38.8 9.13 8.97
42 37.8 39.1 9.13 8.97
44 37.9 39.3 9.13 8.98
46 38 39.5 9.14 8.98
48 38.2 39.7 9.14 8.99
50 38.3 40 9.15 9
52 38.4 40.2 9.16 9.01
54 38.6 40.4 9.17 9.02
56 38.7 40.7 9.17 9.03
58 38.8 40.9 9.18 9.04
60 39 41.2 9.19 9.05
65 39.1 41.4 9.2 9.06
70 39.3 41.7 9.2 9.07
75 39.5 42 9.2 9.07
80 39.7 42.3 9.18 9.06
85 39.8 42.6 9.16 9.04
90 40 42.9 9.14 9.02
95 40.2 43.2 9.13 9
100 40.3 43.4 9.12 8.99
105 40.5 43.7 9.12 8.98
110 40.7 44 9.13 8.98
115 40.8 44.2 9.15 9
120 41 44.5 9.17 9.02
