time ntc terminal device_current clamp_current
0 30.6 27.7 5.4 5.28
1 30.8 28 5.4 5.28
2 30.9 28.3 5.4 5.28
3 31 28.6 5.39 5.28
4 31.1 28.9 5.39 5.27
5 31.2 29.3 5.39 5.27
6 31.4 29.6 5.38 5.26
7 31.5 29.9 5.38 5.26
8 31.6 30.2 5.38 5.26
9 31.7 30.5 5.37 5.25
10 31.8 30.8 5.37 5.25
11 31.9 30.9 5.37 5.24
12 32 31 5.36 5.24
13 32 31.1 5.36 5.23
14 32.1 31.2 5.35 5.22
15 32.1 31.3 5.35 5.22
16 32.2 31.5 5.34 5.21
17 32.3 31.6 5.34 5.2
18 32.3 31.7 5.33 5.2
19 32.4 31.8 5.32 5.19
20 32.4 31.9 5.32 5.18
21 32.5 32 5.31 5.18
22 32.5 32.1 5.31 5.17
23 32.6 32.2 5.3 5.16
24 32.7 32.3 5.29 5.15
25 32.7 32.4 5.29 5.15
26 32.8 32.5 5.28 5.14
27 32.8 32.6 5.28 5.13
28 32.9 32.7 5.27 5.13
29 33 32.8 5.27 5.12
30 33 32.9 5.26 5.11
32 33.1 33 5.25 5.1
34 33.1 33.1 5.24 5.09
36 33.2 33.2 5.24 5.08
38 33.3 33.3 5.23 5.08
40 33.3 33.4 5.23 5.07
42 33.4 33.5 5.23 5.07
44 33.5 33.6 5.23 5.07
46 33.5 33.7 5.23 5.08
48 33.6 33.9 5.23 5.08
50 33.6 34 5.24 5.09
52 33.7 34.1 5.24 5.09
54 33.8 34.2 5.25 5.1
56 33.8 34.3 5.26 5.11
58 33.9 34.4 5.27 5.12
60 34 34.5 5.27 5.13
65 34 34.7 5.29 5.15
70 34.1 34.8 5.3 5.17
75 34.2 35 5.3 5.18
80 34.2 35.1 5.3 5.18
85 34.3 35.3 5.28 5.16
90 34.4 35.4 5.26 5.15
95 34.5 35.6 5.24 5.13
100 34.5 35.7 5.23 5.11
105 34.6 35.8 5.22 5.09
110 34.7 36 5.22 5.09
115 34.7 36.1 5.23 5.09
120 34.8 36.2 5.25 5.11
130 34.9 36.3 5.3 5.15
140 34.9 36.4 5.34 5.19
150 35 36.4 5.34 5.19
160 35 36.6 5.31 5.17
170 35.1 36.7 5.26 5.14
180 35.2 36.8 5.25 5.13
195 35.3 37 5.29 5.17
210 35.4 37.2 5.32 5.18
225 35.5 37.3 5.28 5.12
240 35.6 37.4 5.2 5.05
