time ntc estimated terminal device_current clamp_current
0 29.9 30.8 31.1 9.3 9.17
1 30.3 31.3 31.9 9.3 9.16
2 30.7 31.7 32.7 9.29 9.16
3 31.1 32.2 33.4 9.29 9.15
4 31.5 32.6 34.2 9.28 9.15
5 31.8 33 35 9.28 9.14
6 32.2 33.4 35.4 9.27 9.14
7 32.6 33.8 35.8 9.27 9.13
8 32.9 34.2 36.2 9.26 9.12
9 33.3 34.5 36.6 9.26 9.12
10 33.6 34.9 37 9.25 9.11
11 33.8 35.1 37.3 9.25 9.1
12 34 35.3 37.6 9.24 9.09
13 34.2 35.5 37.8 9.23 9.09
14 34.4 35.8 38.1 9.23 9.08
15 34.6 36 38.4 9.22 9.07
16 34.8 36.2 38.7 9.22 9.06
17 35 36.4 39 9.21 9.06
18 35.2 36.6 39.2 9.2 9.05
19 35.4 36.8 39.5 9.2 9.04
20 35.6 37 39.8 9.19 9.03
21 35.7 37.1 39.9 9.19 9.03
22 35.9 37.3 40.1 9.18 9.02
23 36 37.4 40.3 9.17 9.01
24 36.1 37.6 40.4 9.17 9.01
25 36.3 37.7 40.6 9.16 9
26 36.4 37.8 40.8 9.16 8.99
27 36.5 38 40.9 9.15 8.99
28 36.6 38.1 41.1 9.15 8.98
29 36.8 38.2 41.3 9.14 8.98
30 36.9 38.4 41.4 9.14 8.97
32 37 38.5 41.7 9.13 8.97
34 37.2 38.7 41.9 9.13 8.96
36 37.3 38.8 42.2 9.13 8.96
38 37.5 38.9 42.4 9.13 8.96
40 37.6 39.1 42.7 9.13 8.96
42 37.7 39.2 43 9.13 8.96
44 37.9 39.4 43.2 9.13 8.97
46 38 39.5 43.5 9.14 8.97
48 38.2 39.7 43.7 9.14 8.98
50 38.3 39.8 43.9 9.15 8.99
52 38.5 40 44.1 9.16 9
