time ntc estimated terminal device_current clamp_current
0 29 29.8 30.1 9.29 9.16
1 29.4 30.2 30.7 9.29 9.16
2 29.8 30.6 31.3 9.29 9.16
3 30.1 31 31.9 9.29 9.16
4 30.5 31.4 32.5 9.29 9.16
5 30.8 31.8 33.1 9.28 9.16
6 31.1 32.1 33.4 9.28 9.15
7 31.3 32.4 33.8 9.28 9.15
8 31.6 32.6 34.2 9.28 9.15
9 31.8 32.9 34.5 9.28 9.15
10 32 33.1 34.9 9.28 9.15
11 32.2 33.3 35.1 9.28 9.15
12 32.4 33.5 35.3 9.28 9.14
13 32.5 33.6 35.5 9.27 9.14
14 32.7 33.8 35.7 9.27 9.14
15 32.8 34 36 9.27 9.13
16 33 34.2 36.2 9.26 9.13
17 33.2 34.3 36.4 9.26 9.12
18 33.3 34.5 36.6 9.25 9.12
19 33.5 34.7 36.8 9.25 9.11
20 33.6 34.8 37 9.25 9.11
21 33.8 35 37.2 9.24 9.1
22 33.9 35.1 37.4 9.24 9.09
23 34 35.2 37.5 9.23 9.09
24 34.2 35.3 37.7 9.22 9.08
25 34.3 35.5 37.8 9.22 9.07
26 34.4 35.6 38 9.21 9.07
27 34.5 35.7 38.1 9.21 9.06
28 34.7 35.9 38.3 9.2 9.05
29 34.8 36 38.4 9.2 9.04
30 34.9 36.1 38.6 9.19 9.04
32 35.1 36.3 38.8 9.18 9.02
34 35.2 36.4 38.9 9.17 9.01
36 35.4 36.6 39.1 9.16 9
38 35.5 36.7 39.3 9.15 8.99
40 35.7 36.9 39.5 9.14 8.98
42 35.8 37 39.6 9.13 8.97
44 36 37.2 39.8 9.13 8.96
46 36.1 37.3 40 9.13 8.96
48 36.3 37.5 40.1 9.13 8.96
50 36.4 37.6 40.3 9.13 8.96
52 36.5 37.7 40.4 9.13 8.96
54 36.6 37.9 40.5 9.13 8.96
56 36.7 38 40.7 9.14 8.97
58 36.9 38.1 40.8 9.14 8.98
60 37 38.3 40.9 9.15 8.99
65 37.1 38.4 41.1 9.17 9.01
70 37.3 38.5 41.3 9.19 9.03
75 37.4 38.7 41.5 9.2 9.05
80 37.6 38.8 41.7 9.2 9.06
85 37.7 39 41.9 9.19 9.06
90 37.9 39.1 42.1 9.18 9.05
95 38 39.3 42.3 9.16 9.03
100 38.2 39.4 42.5 9.14 9.01
105 38.3 39.6 42.7 9.12 8.99
110 38.5 39.7 42.9 9.11 8.98
115 38.7 39.9 43 9.11 8.97
120 38.8 40 43.2 9.12 8.98
