time ntc estimated terminal device_current clamp_current
0 28.6 29.2 29.8 7.33 7.2
1 28.9 29.6 29.6 7.33 7.2
2 29.2 29.9 30.2 7.33 7.2
3 29.5 30.2 30.8 7.33 7.2
4 29.8 30.5 31.3 7.33 7.2
5 30 30.8 31.9 7.33 7.2
6 30.2 31 32.1 7.33 7.2
7 30.4 31.2 32.4 7.33 7.2
8 30.5 31.4 32.6 7.33 7.2
9 30.7 31.6 32.8 7.33 7.2
10 30.8 31.7 33.1 7.33 7.2
11 30.9 31.9 33.2 7.33 7.2
12 31 32 33.4 7.33 7.2
13 31.1 32.1 33.5 7.33 7.2
14 31.2 32.2 33.6 7.32 7.19
15 31.3 32.3 33.8 7.32 7.19
16 31.4 32.4 33.9 7.32 7.19
17 31.5 32.5 34 7.32 7.18
18 31.6 32.6 34.2 7.31 7.18
19 31.7 32.7 34.3 7.31 7.18
20 31.8 32.8 34.5 7.31 7.17
21 31.9 32.9 34.6 7.3 7.17
22 32 33 34.6 7.3 7.16
23 32.1 33.1 34.7 7.29 7.15
24 32.2 33.2 34.8 7.29 7.15
25 32.2 33.3 34.9 7.28 7.14
26 32.3 33.4 35 7.28 7.13
27 32.4 33.5 35.1 7.27 7.13
28 32.5 33.5 35.2 7.26 7.12
29 32.6 33.6 35.3 7.26 7.11
30 32.6 33.7 35.4 7.25 7.11
32 32.7 33.8 35.5 7.24 7.09
34 32.8 33.9 35.6 7.23 7.08
36 32.9 34 35.7 7.22 7.06
38 33 34.1 35.8 7.21 7.05
40 33.1 34.2 35.9 7.2 7.04
42 33.2 34.3 36 7.19 7.03
44 33.3 34.4 36.1 7.19 7.02
46 33.4 34.5 36.2 7.18 7.02
48 33.4 34.6 36.3 7.18 7.01
50 33.5 34.7 36.4 7.18 7.01
52 33.6 34.8 36.5 7.18 7.01
54 33.7 34.9 36.6 7.18 7.01
56 33.8 35 36.7 7.18 7.02
58 33.9 35.1 36.8 7.19 7.02
60 34 35.2 36.9 7.19 7.03
65 34.1 35.3 37.1 7.21 7.05
70 34.2 35.4 37.2 7.23 7.07
75 34.3 35.6 37.4 7.24 7.09
80 34.4 35.7 37.6 7.25 7.11
85 34.6 35.8 37.7 7.25 7.11
90 34.7 36 37.9 7.24 7.1
95 34.8 36.1 38 7.22 7.09
100 34.9 36.3 38.2 7.2 7.07
105 35 36.4 38.4 7.18 7.05
110 35.2 36.5 38.5 7.17 7.03
115 35.3 36.7 38.7 7.16 7.03
120 35.4 36.8 38.8 7.17 7.03
130 35.5 36.9 38.9 7.21 7.05
140 35.6 37 39 7.26 7.09
150 35.7 37.1 39.1 7.29 7.12
160 35.8 37.2 39.2 7.28 7.12
170 35.9 37.3 39.3 7.24 7.09
180 36 37.4 39.5 7.21 7.07
195 36.2 37.6 39.7 7.21 7.08
210 36.4 37.8 39.9 7.26 7.12
225 36.6 38 40.1 7.26 7.1
240 36.7 38.1 40.3 7.19 7.02
