time ntc terminal device_current clamp_current
0 30.8 27.9 7.33 7.21
1 31 28.1 7.33 7.21
2 31.1 28.3 7.33 7.21
3 31.3 28.5 7.33 7.21
4 31.4 28.7 7.33 7.21
5 31.5 28.9 7.33 7.21
6 31.7 29.1 7.33 7.21
7 31.8 29.3 7.33 7.21
8 32 29.5 7.33 7.21
9 32.1 29.7 7.33 7.21
10 32.2 29.9 7.33 7.21
11 32.3 30 7.33 7.21
12 32.4 30.1 7.33 7.21
13 32.5 30.2 7.33 7.21
14 32.6 30.3 7.32 7.2
15 32.6 30.4 7.32 7.2
16 32.7 30.5 7.32 7.2
17 32.8 30.6 7.32 7.19
18 32.9 30.7 7.31 7.19
19 33 30.8 7.31 7.19
20 33 30.9 7.31 7.18
21 33.1 31.1 7.3 7.18
22 33.2 31.2 7.3 7.17
23 33.3 31.3 7.29 7.16
24 33.4 31.4 7.29 7.16
25 33.4 31.5 7.28 7.15
26 33.5 31.6 7.28 7.14
27 33.6 31.7 7.27 7.14
28 33.7 31.8 7.26 7.13
29 33.8 31.9 7.26 7.12
30 33.8 32 7.25 7.12
32 33.9 32.2 7.24 7.1
34 34 32.3 7.23 7.09
36 34.1 32.4 7.22 7.07
38 34.2 32.6 7.21 7.06
40 34.3 32.7 7.2 7.05
42 34.4 32.9 7.19 7.04
44 34.5 33 7.19 7.03
46 34.6 33.1 7.18 7.03
48 34.6 33.3 7.18 7.02
50 34.7 33.4 7.18 7.02
52 34.8 33.6 7.18 7.02
54 34.9 33.7 7.18 7.02
56 35 33.8 7.18 7.03
58 35.1 34 7.19 7.03
60 35.2 34.1 7.19 7.04
65 35.3 34.3 7.21 7.06
70 35.4 34.4 7.23 7.08
75 35.5 34.6 7.24 7.1
80 35.6 34.8 7.25 7.12
85 35.8 34.9 7.25 7.12
90 35.9 35.1 7.24 7.11
95 36 35.2 7.22 7.1
100 36.1 35.4 7.2 7.08
105 36.2 35.6 7.18 7.06
110 36.4 35.7 7.17 7.04
115 36.5 35.9 7.16 7.04
120 36.6 36 7.17 7.04
130 36.7 36.1 7.21 7.06
140 36.8 36.3 7.26 7.1
150 36.9 36.4 7.29 7.13
160 36.9 36.5 7.28 7.13
170 37 36.6 7.24 7.1
180 37.1 36.8 7.21 7.08
195 37.3 37 7.21 7.09
210 37.4 37.3 7.26 7.13
225 37.6 37.5 7.26 7.11
240 37.7 37.6 7.19 7.03
