time ntc estimated terminal device_current clamp_current
0 29.4 30.3 30.9 11.29 11.16
1 29.9 30.8 31.7 11.29 11.16
2 30.3 31.3 32.5 11.29 11.16
3 30.7 31.8 33.3 11.29 11.16
4 31.1 32.3 34.1 11.29 11.16
5 31.5 32.7 34.9 11.29 11.16
6 31.8 33.1 35.3 11.29 11.15
7 32.1 33.4 35.8 11.28 11.15
8 32.4 33.7 36.2 11.28 11.15
9 32.7 34 36.6 11.28 11.15
10 33 34.3 37.1 11.28 11.14
11 33.2 34.5 37.3 11.27 11.14
12 33.4 34.8 37.6 11.27 11.13
13 33.6 35 37.9 11.27 11.13
14 33.8 35.2 38.2 11.26 11.13
15 34 35.4 38.4 11.26 11.12
16 34.2 35.6 38.7 11.25 11.11
17 34.4 35.8 39 11.25 11.11
18 34.6 36 39.3 11.25 11.1
19 34.8 36.2 39.6 11.24 11.1
20 35 36.4 39.8 11.23 11.09
21 35.2 36.6 40 11.23 11.08
22 35.4 36.7 40.2 11.22 11.08
23 35.5 36.9 40.4 11.22 11.07
24 35.7 37.1 40.5 11.21 11.06
25 35.8 37.2 40.7 11.21 11.05
26 36 37.4 40.9 11.2 11.05
27 36.1 37.5 41.1 11.19 11.04
28 36.3 37.7 41.2 11.19 11.03
29 36.5 37.8 41.4 11.18 11.03
30 36.6 38 41.6 11.18 11.02
32 36.8 38.1 41.7 11.17 11
34 36.9 38.3 41.9 11.16 10.99
36 37 38.4 42 11.15 10.98
38 37.1 38.5 42.2 11.14 10.97
40 37.3 38.7 42.3 11.13 10.97
42 37.4 38.8 42.5 11.13 10.96
44 37.5 38.9 42.6 11.13 10.96
46 37.7 39 42.8 11.13 10.95
48 37.8 39.2 42.9 11.13 10.96
50 37.9 39.3 43.1 11.13 10.96
52 38.1 39.5 43.3 11.13 10.96
54 38.2 39.6 43.5 11.14 10.97
56 38.4 39.8 43.7 11.14 10.98
58 38.5 39.9 43.9 11.15 10.98
